President,Birthplace,State
George Washington,Westmoreland County,Virginia
John Adams,Braintree,Massachusetts
Thomas Jefferson,Shadwell,Virginia
James Madison,Port Conway,Virginia
James Monroe,Monroe Hall,Virginia
Andrew Jackson,Waxhaws Region,South Carolina
John Quincy Adams,Braintree,Massachusetts
William Henry Harrison,Charles City County,Virginia
Martin Van Buren,Kinderhook,New York
Zachary Taylor,Barboursville,Virginia
John Tyler,Charles City County,Virginia
James Buchanan,Cove Gap,Pennsylvania
James K. Polk,Pineville,North Carolina
Millard Fillmore,Summerhill,New York
Franklin Pierce,Hillsborough,New Hampshire
Andrew Johnson,Raleigh,North Carolina
Abraham Lincoln,Sinking Spring,Kentucky
Ulysses S. Grant,Point Pleasant,Ohio
Rutherford B. Hayes,Delaware,Ohio
Chester A. Arthur,Fairfield,Vermont
James A. Garfield,Moreland Hills,Ohio
Benjamin Harrison,North Bend,Ohio
Grover Cleveland,Caldwell,New Jersey
William McKinley,Niles,Ohio
Woodrow Wilson,Staunton,Virginia
William H. Taft,Cincinnati,Ohio
Theodore Roosevelt,New York City,New York
Warren G. Harding,Blooming Grove,Ohio
Calvin Coolidge,Plymouth,Vermont
Herbert Hoover,West Branch,Iowa
Franklin D. Roosevelt,Hyde Park,New York
Harry S. Truman,Lamar,Missouri
Dwight D. Eisenhower,Denison,Texas
Lyndon B. Johnson,Stonewall,Texas
Ronald Reagan,Tampico,Illinois
Richard Nixon,Yorba Linda,California
Gerald Ford,Omaha,Nebraska
John F. Kennedy,Brookline,Massachusetts
George H. W. Bush,Milton,Massachusetts
Jimmy Carter,Plains,Georgia
George W. Bush,New Haven,Connecticut
Bill Clinton,Hope,Arkansas
Barack Obama,Honolulu,Hawaii
Donald Trump,Queens,New York
Joe Biden,Scranton,Pennsylvania
